Comunidad autónoma;Sexo;Distintos grupos de edad;Tipo de tasa;Periodo;Total
Total nacional;ambos sexos;total;tasas de actividad;2001TIV;53,41
Total nacional;ambos sexos;total;tasas de actividad;2001TIII;53,23
Total nacional;ambos sexos;total;tasas de actividad;2001TII;52,73
Total nacional;ambos sexos;total;tasas de actividad;2001TI;52,57
Total nacional;ambos sexos;total;tasas de actividad;2000TIV;53,98
Total nacional;ambos sexos;total;tasas de actividad;2000TIII;53,90
Total nacional;ambos sexos;total;tasas de actividad;2000TII;53,38
Total nacional;ambos sexos;total;tasas de actividad;2000TI;53,10
Total nacional;ambos sexos;total;tasas de actividad;1999TIV;52,95
Total nacional;ambos sexos;total;tasas de actividad;1999TIII;52,68
Total nacional;ambos sexos;total;tasas de actividad;1999TII;52,16
Total nacional;ambos sexos;total;tasas de actividad;1999TI;52,06
Total nacional;ambos sexos;total;tasas de actividad;1998TIV;52,21
Total nacional;ambos sexos;total;tasas de actividad;1998TIII;52,26
Total nacional;ambos sexos;total;tasas de actividad;1998TII;51,75
Total nacional;ambos sexos;total;tasas de actividad;1998TI;51,63
Total nacional;ambos sexos;total;tasas de actividad;1997TIV;51,83
Total nacional;ambos sexos;total;tasas de actividad;1997TIII;51,73
Total nacional;ambos sexos;total;tasas de actividad;1997TII;51,45
Total nacional;ambos sexos;total;tasas de actividad;1997TI;51,35
Total nacional;ambos sexos;total;tasas de actividad;1996TIV;51,47
Total nacional;ambos sexos;total;tasas de actividad;1996TIII;51,49
Total nacional;ambos sexos;total;tasas de actividad;1996TII;51,08
Total nacional;ambos sexos;total;tasas de actividad;1996TI;51,03
Total nacional;ambos sexos;total;tasas de paro;2001TIV;10,63
Total nacional;ambos sexos;total;tasas de paro;2001TIII;10,29
Total nacional;ambos sexos;total;tasas de paro;2001TII;10,35
Total nacional;ambos sexos;total;tasas de paro;2001TI;10,94
Total nacional;ambos sexos;total;tasas de paro;2000TIV;13,42
Total nacional;ambos sexos;total;tasas de paro;2000TIII;13,54
Total nacional;ambos sexos;total;tasas de paro;2000TII;13,74
Total nacional;ambos sexos;total;tasas de paro;2000TI;14,79
Total nacional;ambos sexos;total;tasas de paro;1999TIV;15,19
Total nacional;ambos sexos;total;tasas de paro;1999TIII;15,19
Total nacional;ambos sexos;total;tasas de paro;1999TII;15,40
Total nacional;ambos sexos;total;tasas de paro;1999TI;16,78
Total nacional;ambos sexos;total;tasas de paro;1998TIV;17,99
Total nacional;ambos sexos;total;tasas de paro;1998TIII;18,32
Total nacional;ambos sexos;total;tasas de paro;1998TII;18,70
Total nacional;ambos sexos;total;tasas de paro;1998TI;19,41
Total nacional;ambos sexos;total;tasas de paro;1997TIV;20,11
Total nacional;ambos sexos;total;tasas de paro;1997TIII;20,31
Total nacional;ambos sexos;total;tasas de paro;1997TII;20,72
Total nacional;ambos sexos;total;tasas de paro;1997TI;21,30
Total nacional;ambos sexos;total;tasas de paro;1996TIV;21,60
Total nacional;ambos sexos;total;tasas de paro;1996TIII;21,72
Total nacional;ambos sexos;total;tasas de paro;1996TII;22,17
Total nacional;ambos sexos;total;tasas de paro;1996TI;22,83
Total nacional;ambos sexos;total;tasas de empleo;2001TIV;47,74
Total nacional;ambos sexos;total;tasas de empleo;2001TIII;47,75
Total nacional;ambos sexos;total;tasas de empleo;2001TII;47,27
Total nacional;ambos sexos;total;tasas de empleo;2001TI;46,82
Total nacional;ambos sexos;total;tasas de empleo;2000TIV;46,74
Total nacional;ambos sexos;total;tasas de empleo;2000TIII;46,60
Total nacional;ambos sexos;total;tasas de empleo;2000TII;46,04
Total nacional;ambos sexos;total;tasas de empleo;2000TI;45,25
Total nacional;ambos sexos;total;tasas de empleo;1999TIV;44,90
Total nacional;ambos sexos;total;tasas de empleo;1999TIII;44,68
Total nacional;ambos sexos;total;tasas de empleo;1999TII;44,12
Total nacional;ambos sexos;total;tasas de empleo;1999TI;43,32
Total nacional;ambos sexos;total;tasas de empleo;1998TIV;42,81
Total nacional;ambos sexos;total;tasas de empleo;1998TIII;42,69
Total nacional;ambos sexos;total;tasas de empleo;1998TII;42,07
Total nacional;ambos sexos;total;tasas de empleo;1998TI;41,61
Total nacional;ambos sexos;total;tasas de empleo;1997TIV;41,40
Total nacional;ambos sexos;total;tasas de empleo;1997TIII;41,22
Total nacional;ambos sexos;total;tasas de empleo;1997TII;40,79
Total nacional;ambos sexos;total;tasas de empleo;1997TI;40,41
Total nacional;ambos sexos;total;tasas de empleo;1996TIV;40,35
Total nacional;ambos sexos;total;tasas de empleo;1996TIII;40,31
Total nacional;ambos sexos;total;tasas de empleo;1996TII;39,75
Total nacional;ambos sexos;total;tasas de empleo;1996TI;39,38
Total nacional;ambos sexos;menores de 25 años;tasas de actividad;2001TIV;47,18
Total nacional;ambos sexos;menores de 25 años;tasas de actividad;2001TIII;48,34
Total nacional;ambos sexos;menores de 25 años;tasas de actividad;2001TII;45,81
Total nacional;ambos sexos;menores de 25 años;tasas de actividad;2001TI;45,21
Total nacional;ambos sexos;menores de 25 años;tasas de actividad;2000TIV;47,82
Total nacional;ambos sexos;menores de 25 años;tasas de actividad;2000TIII;49,16
Total nacional;ambos sexos;menores de 25 años;tasas de actividad;2000TII;46,42
Total nacional;ambos sexos;menores de 25 años;tasas de actividad;2000TI;46,07
Total nacional;ambos sexos;menores de 25 años;tasas de actividad;1999TIV;46,69
Total nacional;ambos sexos;menores de 25 años;tasas de actividad;1999TIII;47,39
Total nacional;ambos sexos;menores de 25 años;tasas de actividad;1999TII;44,97
Total nacional;ambos sexos;menores de 25 años;tasas de actividad;1999TI;45,26
Total nacional;ambos sexos;menores de 25 años;tasas de actividad;1998TIV;45,39
Total nacional;ambos sexos;menores de 25 años;tasas de actividad;1998TIII;46,19
Total nacional;ambos sexos;menores de 25 años;tasas de actividad;1998TII;44,17
Total nacional;ambos sexos;menores de 25 años;tasas de actividad;1998TI;43,94
Total nacional;ambos sexos;menores de 25 años;tasas de actividad;1997TIV;44,69
Total nacional;ambos sexos;menores de 25 años;tasas de actividad;1997TIII;45,14
Total nacional;ambos sexos;menores de 25 años;tasas de actividad;1997TII;43,73
Total nacional;ambos sexos;menores de 25 años;tasas de actividad;1997TI;44,10
Total nacional;ambos sexos;menores de 25 años;tasas de actividad;1996TIV;44,74
Total nacional;ambos sexos;menores de 25 años;tasas de actividad;1996TIII;45,71
Total nacional;ambos sexos;menores de 25 años;tasas de actividad;1996TII;43,88
Total nacional;ambos sexos;menores de 25 años;tasas de actividad;1996TI;44,63
Total nacional;ambos sexos;menores de 25 años;tasas de paro;2001TIV;21,30
Total nacional;ambos sexos;menores de 25 años;tasas de paro;2001TIII;20,72
Total nacional;ambos sexos;menores de 25 años;tasas de paro;2001TII;20,70
Total nacional;ambos sexos;menores de 25 años;tasas de paro;2001TI;21,58
Total nacional;ambos sexos;menores de 25 años;tasas de paro;2000TIV;25,55
Total nacional;ambos sexos;menores de 25 años;tasas de paro;2000TIII;25,19
Total nacional;ambos sexos;menores de 25 años;tasas de paro;2000TII;25,13
Total nacional;ambos sexos;menores de 25 años;tasas de paro;2000TI;27,71
Total nacional;ambos sexos;menores de 25 años;tasas de paro;1999TIV;28,37
Total nacional;ambos sexos;menores de 25 años;tasas de paro;1999TIII;28,13
Total nacional;ambos sexos;menores de 25 años;tasas de paro;1999TII;28,99
Total nacional;ambos sexos;menores de 25 años;tasas de paro;1999TI;31,70
Total nacional;ambos sexos;menores de 25 años;tasas de paro;1998TIV;33,94
Total nacional;ambos sexos;menores de 25 años;tasas de paro;1998TIII;34,41
Total nacional;ambos sexos;menores de 25 años;tasas de paro;1998TII;35,51
Total nacional;ambos sexos;menores de 25 años;tasas de paro;1998TI;37,01
Total nacional;ambos sexos;menores de 25 años;tasas de paro;1997TIV;37,91
Total nacional;ambos sexos;menores de 25 años;tasas de paro;1997TIII;38,23
Total nacional;ambos sexos;menores de 25 años;tasas de paro;1997TII;39,15
Total nacional;ambos sexos;menores de 25 años;tasas de paro;1997TI;40,49
Total nacional;ambos sexos;menores de 25 años;tasas de paro;1996TIV;41,27
Total nacional;ambos sexos;menores de 25 años;tasas de paro;1996TIII;41,42
Total nacional;ambos sexos;menores de 25 años;tasas de paro;1996TII;41,86
Total nacional;ambos sexos;menores de 25 años;tasas de paro;1996TI;43,19
Total nacional;ambos sexos;menores de 25 años;tasas de empleo;2001TIV;37,13
Total nacional;ambos sexos;menores de 25 años;tasas de empleo;2001TIII;38,32
Total nacional;ambos sexos;menores de 25 años;tasas de empleo;2001TII;36,33
Total nacional;ambos sexos;menores de 25 años;tasas de empleo;2001TI;35,46
Total nacional;ambos sexos;menores de 25 años;tasas de empleo;2000TIV;35,60
Total nacional;ambos sexos;menores de 25 años;tasas de empleo;2000TIII;36,78
Total nacional;ambos sexos;menores de 25 años;tasas de empleo;2000TII;34,76
Total nacional;ambos sexos;menores de 25 años;tasas de empleo;2000TI;33,30
Total nacional;ambos sexos;menores de 25 años;tasas de empleo;1999TIV;33,44
Total nacional;ambos sexos;menores de 25 años;tasas de empleo;1999TIII;34,06
Total nacional;ambos sexos;menores de 25 años;tasas de empleo;1999TII;31,94
Total nacional;ambos sexos;menores de 25 años;tasas de empleo;1999TI;30,92
Total nacional;ambos sexos;menores de 25 años;tasas de empleo;1998TIV;29,99
Total nacional;ambos sexos;menores de 25 años;tasas de empleo;1998TIII;30,29
Total nacional;ambos sexos;menores de 25 años;tasas de empleo;1998TII;28,48
Total nacional;ambos sexos;menores de 25 años;tasas de empleo;1998TI;27,68
Total nacional;ambos sexos;menores de 25 años;tasas de empleo;1997TIV;27,75
Total nacional;ambos sexos;menores de 25 años;tasas de empleo;1997TIII;27,88
Total nacional;ambos sexos;menores de 25 años;tasas de empleo;1997TII;26,61
Total nacional;ambos sexos;menores de 25 años;tasas de empleo;1997TI;26,24
Total nacional;ambos sexos;menores de 25 años;tasas de empleo;1996TIV;26,27
Total nacional;ambos sexos;menores de 25 años;tasas de empleo;1996TIII;26,77
