Causa de muerte	Sexo	Edad	Comunidades y Ciudades Autónomas	Periodo	Total
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	01 Andalucía	2020	793
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	01 Andalucía	2019	640
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	01 Andalucía	2018	653
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	01 Andalucía	2017	692
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	01 Andalucía	2016	668
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	01 Andalucía	2015	682
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	01 Andalucía	2014	784
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	01 Andalucía	2013	808
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	01 Andalucía	2012	781
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	01 Andalucía	2011	651
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	01 Andalucía	2010	685
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	01 Andalucía	2009	750
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	01 Andalucía	2008	823
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	01 Andalucía	2007	709
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	01 Andalucía	2006	727
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	01 Andalucía	2005	697
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	01 Andalucía	2004	696
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	01 Andalucía	2003	741
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	01 Andalucía	2002	671
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	01 Andalucía	2001	657
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	01 Andalucía	2000	701
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	02 Aragón	2020	102
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	02 Aragón	2019	109
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	02 Aragón	2018	120
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	02 Aragón	2017	100
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	02 Aragón	2016	113
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	02 Aragón	2015	131
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	02 Aragón	2014	116
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	02 Aragón	2013	98
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	02 Aragón	2012	99
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	02 Aragón	2011	89
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	02 Aragón	2010	95
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	02 Aragón	2009	114
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	02 Aragón	2008	100
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	02 Aragón	2007	101
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	02 Aragón	2006	84
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	02 Aragón	2005	102
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	02 Aragón	2004	107
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	02 Aragón	2003	89
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	02 Aragón	2002	118
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	02 Aragón	2001	91
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	02 Aragón	2000	97
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	03 Asturias, Principado de	2020	122
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	03 Asturias, Principado de	2019	128
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	03 Asturias, Principado de	2018	138
098  Suicidio y lesiones autoinfligidas	Total	Todas las edades	03 Asturias, Principado de	2017	134
