Causa de muerte;Sexo;Edad;Comunidades y Ciudades Autónomas;Periodo;Total
098  Suicidio y lesiones autoinfligidas;Total;Todas las edades;01 Andalucía;2020;793
098  Suicidio y lesiones autoinfligidas;Total;Todas las edades;02 Aragón;2020;102
098  Suicidio y lesiones autoinfligidas;Total;Todas las edades;03 Asturias, Principado de;2020;122
098  Suicidio y lesiones autoinfligidas;Total;Todas las edades;04 Balears, Illes;2020;87
098  Suicidio y lesiones autoinfligidas;Total;Todas las edades;05 Canarias;2020;208
098  Suicidio y lesiones autoinfligidas;Total;Todas las edades;06 Cantabria;2020;46
098  Suicidio y lesiones autoinfligidas;Total;Todas las edades;07 Castilla y León;2020;228
098  Suicidio y lesiones autoinfligidas;Total;Todas las edades;08 Castilla - La Mancha;2020;180
098  Suicidio y lesiones autoinfligidas;Total;Todas las edades;09 Cataluña;2020;556
098  Suicidio y lesiones autoinfligidas;Total;Todas las edades;10 Comunitat Valenciana;2020;440
098  Suicidio y lesiones autoinfligidas;Total;Todas las edades;11 Extremadura;2020;92
098  Suicidio y lesiones autoinfligidas;Total;Todas las edades;12 Galicia;2020;305
098  Suicidio y lesiones autoinfligidas;Total;Todas las edades;13 Madrid, Comunidad de;2020;373
098  Suicidio y lesiones autoinfligidas;Total;Todas las edades;14 Murcia, Región de;2020;122
098  Suicidio y lesiones autoinfligidas;Total;Todas las edades;15 Navarra, Comunidad Foral de;2020;44
098  Suicidio y lesiones autoinfligidas;Total;Todas las edades;16 País Vasco;2020;179
098  Suicidio y lesiones autoinfligidas;Total;Todas las edades;17 Rioja, La;2020;29
098  Suicidio y lesiones autoinfligidas;Total;Todas las edades;18 Ceuta;2020;4
098  Suicidio y lesiones autoinfligidas;Total;Todas las edades;19 Melilla;2020;4
