Comunidad autónoma de residencia;Nivel de ingresos del hogar (reducida);Gastos totales, medios, distribución e índice;Periodo;Total
Total Nacional;Total;Gasto total;2020;502.992.573,12
Total Nacional;Total;Gasto total;2019;561.908.227,28
Total Nacional;Total;Gasto total;2018;552.724.833,17
Total Nacional;Total;Gasto total;2017;536.323.001,7
Total Nacional;Total;Gasto total;2016;515.885.693,37
Total Nacional;Total;Gasto total;2015;499.619.027,23
Total Nacional;Total;Gasto total;2014;491.037.569,8
Total Nacional;Total;Gasto total;2013;490.392.229,09
Total Nacional;Total;Gasto total;2012;507.018.206,12
Total Nacional;Total;Gasto total;2011;515.393.577,37
Total Nacional;Total;Gasto total;2010;515.421.410,58
Total Nacional;Total;Gasto total;2009;519.407.428,74
Total Nacional;Total;Gasto total;2008;536.321.379,26
Total Nacional;Total;Gasto total;2007;521.769.303,45
Total Nacional;Total;Gasto total;2006;486.294.487,47
Total Nacional;Total;Distribución porcentual;2020;100
Total Nacional;Total;Distribución porcentual;2019;100
Total Nacional;Total;Distribución porcentual;2018;100
Total Nacional;Total;Distribución porcentual;2017;100
Total Nacional;Total;Distribución porcentual;2016;100
Total Nacional;Total;Distribución porcentual;2015;100
Total Nacional;Total;Distribución porcentual;2014;100
Total Nacional;Total;Distribución porcentual;2013;100
Total Nacional;Total;Distribución porcentual;2012;100
Total Nacional;Total;Distribución porcentual;2011;100
Total Nacional;Total;Distribución porcentual;2010;100
Total Nacional;Total;Distribución porcentual;2009;100
Total Nacional;Total;Distribución porcentual;2008;100
Total Nacional;Total;Distribución porcentual;2007;100
Total Nacional;Total;Distribución porcentual;2006;100
Total Nacional;Total;Gasto medio por hogar;2020;27.112,05
Total Nacional;Total;Gasto medio por hogar;2019;30.361,42
Total Nacional;Total;Gasto medio por hogar;2018;29.985,87
Total Nacional;Total;Gasto medio por hogar;2017;29.317,29
Total Nacional;Total;Gasto medio por hogar;2016;28.316,38
Total Nacional;Total;Gasto medio por hogar;2015;27.632,34
Total Nacional;Total;Gasto medio por hogar;2014;27.248,09
Total Nacional;Total;Gasto medio por hogar;2013;27.320,48
Total Nacional;Total;Gasto medio por hogar;2012;28.340,35
Total Nacional;Total;Gasto medio por hogar;2011;29.289,98
Total Nacional;Total;Gasto medio por hogar;2010;29.532,3
Total Nacional;Total;Gasto medio por hogar;2009;30.263,99
Total Nacional;Total;Gasto medio por hogar;2008;31.759,95
Total Nacional;Total;Gasto medio por hogar;2007;31.706,16
Total Nacional;Total;Gasto medio por hogar;2006;30.313,94
Total Nacional;Total;Gasto medio por persona;2020;10.881,32
Total Nacional;Total;Gasto medio por persona;2019;12.167,98
Total Nacional;Total;Gasto medio por persona;2018;12.043,97
Total Nacional;Total;Gasto medio por persona;2017;11.755,35
Total Nacional;Total;Gasto medio por persona;2016;11.342,42
Total Nacional;Total;Gasto medio por persona;2015;11.021,87
Total Nacional;Total;Gasto medio por persona;2014;10.806,35
Total Nacional;Total;Gasto medio por persona;2013;10.767,51
Total Nacional;Total;Gasto medio por persona;2012;11.051,28
Total Nacional;Total;Gasto medio por persona;2011;11.298,45
Total Nacional;Total;Gasto medio por persona;2010;11.280,06
Total Nacional;Total;Gasto medio por persona;2009;11.433,43
Total Nacional;Total;Gasto medio por persona;2008;11.898,44
Total Nacional;Total;Gasto medio por persona;2007;11.768,65
Total Nacional;Total;Gasto medio por persona;2006;11.145,51
Total Nacional;Total;Gasto medio por unidad de consumo;2020;16.113,21
Total Nacional;Total;Gasto medio por unidad de consumo;2019;18.047,03
Total Nacional;Total;Gasto medio por unidad de consumo;2018;17.860,99
Total Nacional;Total;Gasto medio por unidad de consumo;2017;17.452,11
Total Nacional;Total;Gasto medio por unidad de consumo;2016;16.853,85
Total Nacional;Total;Gasto medio por unidad de consumo;2015;16.395,91
Total Nacional;Total;Gasto medio por unidad de consumo;2014;16.109,48
Total Nacional;Total;Gasto medio por unidad de consumo;2013;16.078,74
Total Nacional;Total;Gasto medio por unidad de consumo;2012;16.557,01
Total Nacional;Total;Gasto medio por unidad de consumo;2011;16.982,6
Total Nacional;Total;Gasto medio por unidad de consumo;2010;16.989,96
Total Nacional;Total;Gasto medio por unidad de consumo;2009;17.267,04
Total Nacional;Total;Gasto medio por unidad de consumo;2008;18.003,28
Total Nacional;Total;Gasto medio por unidad de consumo;2007;17.850,08
Total Nacional;Total;Gasto medio por unidad de consumo;2006;16.945,01
Total Nacional;Total;Índice sobre la media del gmp;2020;100
Total Nacional;Total;Índice sobre la media del gmp;2019;100
Total Nacional;Total;Índice sobre la media del gmp;2018;100
Total Nacional;Total;Índice sobre la media del gmp;2017;100
Total Nacional;Total;Índice sobre la media del gmp;2016;100
Total Nacional;Total;Índice sobre la media del gmp;2015;100
