Sexo;Comunidades y Ciudades Autónomas;Edad;Periodo;Total
Hombres;Total Nacional;Total;2021T3;12,97
Hombres;Total Nacional;Total;2021T2;13,39
Hombres;Total Nacional;Total;2021T1;14,07
Hombres;Total Nacional;Total;2020T4;14,17
Hombres;Total Nacional;Total;2020T3;14,39
Hombres;Total Nacional;Total;2020T2;14,13
Hombres;Total Nacional;Total;2020T1;12,79
Hombres;Total Nacional;Total;2019T4;12,23
Hombres;Total Nacional;Total;2019T3;12,17
Hombres;Total Nacional;Total;2019T2;12,49
Hombres;Total Nacional;Total;2019T1;12,90
Hombres;Total Nacional;Total;2018T4;12,87
Hombres;Total Nacional;Total;2018T3;13,12
Hombres;Total Nacional;Total;2018T2;13,72
Hombres;Total Nacional;Total;2018T1;15,18
Hombres;Total Nacional;Total;2017T4;14,97
Hombres;Total Nacional;Total;2017T3;14,80
Hombres;Total Nacional;Total;2017T2;15,64
Hombres;Total Nacional;Total;2017T1;17,22
Hombres;Total Nacional;Total;2016T4;17,22
Hombres;Total Nacional;Total;2016T3;17,39
Hombres;Total Nacional;Total;2016T2;18,41
Hombres;Total Nacional;Total;2016T1;19,45
Hombres;Total Nacional;Total;2015T4;19,49
Hombres;Total Nacional;Total;2015T3;19,90
Hombres;Total Nacional;Total;2015T2;20,96
Hombres;Total Nacional;Total;2015T1;22,74
Hombres;Total Nacional;Total;2014T4;22,80
Hombres;Total Nacional;Total;2014T3;22,53
Hombres;Total Nacional;Total;2014T2;23,70
Hombres;Total Nacional;Total;2014T1;25,37
Hombres;Total Nacional;Total;2013T4;25,04
Hombres;Total Nacional;Total;2013T3;25,19
Hombres;Total Nacional;Total;2013T2;25,50
Hombres;Total Nacional;Total;2013T1;26,66
Hombres;Total Nacional;Total;2012T4;25,40
Hombres;Total Nacional;Total;2012T3;24,54
Hombres;Total Nacional;Total;2012T2;24,43
Hombres;Total Nacional;Total;2012T1;23,96
Hombres;Total Nacional;Total;2011T4;22,26
Hombres;Total Nacional;Total;2011T3;20,90
Hombres;Total Nacional;Total;2011T2;20,42
Hombres;Total Nacional;Total;2011T1;20,60
Hombres;Total Nacional;Total;2010T4;19,80
Hombres;Total Nacional;Total;2010T3;19,12
Hombres;Total Nacional;Total;2010T2;19,56
Hombres;Total Nacional;Total;2010T1;19,80
Hombres;Total Nacional;Total;2009T4;18,56
Hombres;Total Nacional;Total;2009T3;17,62
Hombres;Total Nacional;Total;2009T2;17,56
Hombres;Total Nacional;Total;2009T1;16,85
Hombres;Total Nacional;Total;2008T4;12,96
Hombres;Total Nacional;Total;2008T3;10,29
Hombres;Total Nacional;Total;2008T2;9,06
Hombres;Total Nacional;Total;2008T1;7,90
Hombres;Total Nacional;Total;2007T4;6,89
Hombres;Total Nacional;Total;2007T3;6,25
Hombres;Total Nacional;Total;2007T2;6,15
Hombres;Total Nacional;Total;2007T1;6,34
Hombres;Total Nacional;Total;2006T4;6,12
Hombres;Total Nacional;Total;2006T3;6,05
Hombres;Total Nacional;Total;2006T2;6,38
Hombres;Total Nacional;Total;2006T1;6,86
Hombres;Total Nacional;Total;2005T4;6,73
Hombres;Total Nacional;Total;2005T3;6,56
Hombres;Total Nacional;Total;2005T2;7,41
Hombres;Total Nacional;Total;2005T1;7,84
Hombres;Total Nacional;Total;2004T4;7,83
Hombres;Total Nacional;Total;2004T3;8,20
Hombres;Total Nacional;Total;2004T2;8,33
Hombres;Total Nacional;Total;2004T1;8,68
Hombres;Total Nacional;Total;2003T4;8,58
Hombres;Total Nacional;Total;2003T3;8,39
Hombres;Total Nacional;Total;2003T2;8,27
Hombres;Total Nacional;Total;2003T1;8,76
Hombres;Total Nacional;Total;2002T4;8,65
Hombres;Total Nacional;Total;2002T3;8,33
Hombres;Total Nacional;Total;2002T2;7,86
Hombres;Total Nacional;Total;2002T1;8,36
