Datos de series

Ambos sexos. De 30 a 39 años. Andalucía. Suicidio y lesiones autoinfligidas. Personas. 
Serie,ECM134715
Periodicidad,Anual
Unidad,Personas
DATOS
PERIODO,VALOR,TIPO DATO,NOTA
2020,72,Definitivo,
2019,78,Definitivo,
2018,79,Definitivo,
2017,84,Definitivo,
2016,82,Definitivo,
2015,81,Definitivo,
2014,89,Definitivo,
2013,111,Definitivo,
2012,123,Definitivo,
2011,96,Definitivo,
2010,110,Definitivo,
2009,101,Definitivo,
2008,137,Definitivo,
2007,116,Definitivo,
2006,124,Definitivo,

Dato: .. Dato no disponible
Dato: . Protegido por secreto estadístico
