PERIODO,DESEMPLEO,CCAA
2000,51.47, Andalucía
2001,50.08, Andalucía
2002,19.5, Andalucía
2003,18.45, Andalucía
2004,16.99, Andalucía
2005,13.82, Andalucía
2006,12.62, Andalucía
2007,12.75, Andalucía
2008,17.7, Andalucía
2009,25.24, Andalucía
2010,27.77, Andalucía
2011,30.13, Andalucía
2012,34.35, Andalucía
2013,36.22, Andalucía
2014,34.78, Andalucía
2015,31.54, Andalucía
2016,28.88, Andalucía
2017,25.5, Andalucía
2018,22.98, Andalucía
2019,21.19, Andalucía
2020,22.27, Andalucía
2000,51.0, Aragón
2001,50.17, Aragón
2002,5.85, Aragón
2003,6.63, Aragón
2004,5.66, Aragón
2005,5.9, Aragón
2006,5.53, Aragón
2007,5.3, Aragón
2008,7.28, Aragón
2009,13.05, Aragón
2010,14.96, Aragón
2011,17.08, Aragón
2012,18.66, Aragón
2013,21.38, Aragón
2014,20.17, Aragón
2015,16.29, Aragón
2016,14.74, Aragón
2017,11.64, Aragón
2018,10.63, Aragón
2019,10.02, Aragón
2020,11.7, Aragón
2000,45.39," Asturias, Principado de"
2001,42.21," Asturias, Principado de"
2002,9.8," Asturias, Principado de"
2003,11.3," Asturias, Principado de"
2004,10.32," Asturias, Principado de"
2005,10.04," Asturias, Principado de"
2006,9.16," Asturias, Principado de"
2007,8.42," Asturias, Principado de"
2008,8.5," Asturias, Principado de"
2009,13.42," Asturias, Principado de"
2010,15.92," Asturias, Principado de"
2011,17.84," Asturias, Principado de"
2012,21.82," Asturias, Principado de"
2013,24.13," Asturias, Principado de"
2014,21.13," Asturias, Principado de"
2015,19.11," Asturias, Principado de"
2016,17.61," Asturias, Principado de"
2017,13.71," Asturias, Principado de"
2018,13.61," Asturias, Principado de"
2019,14.19," Asturias, Principado de"
2020,14.12," Asturias, Principado de"
2000,59.1," Balears, Illes"
2001,58.82," Balears, Illes"
2002,7.62," Balears, Illes"
2003,9.78," Balears, Illes"
2004,9.17," Balears, Illes"
2005,7.29," Balears, Illes"
2006,6.5," Balears, Illes"
2007,7.22," Balears, Illes"
2008,10.19," Balears, Illes"
2009,17.97," Balears, Illes"
2010,20.18," Balears, Illes"
2011,21.95," Balears, Illes"
2012,23.26," Balears, Illes"
2013,22.34," Balears, Illes"
2014,20.14," Balears, Illes"
2015,17.41," Balears, Illes"
2016,13.96," Balears, Illes"
2017,12.53," Balears, Illes"
2018,11.68," Balears, Illes"
