PERIODO,SUICIDIOS,CCAA
2020,793, Andalucía
2019,640, Andalucía
2018,653, Andalucía
2017,692, Andalucía
2016,668, Andalucía
2015,682, Andalucía
2014,784, Andalucía
2013,808, Andalucía
2012,781, Andalucía
2011,651, Andalucía
2010,685, Andalucía
2009,750, Andalucía
2008,823, Andalucía
2007,709, Andalucía
2006,727, Andalucía
2005,697, Andalucía
2004,696, Andalucía
2003,741, Andalucía
2002,671, Andalucía
2001,657, Andalucía
2000,701, Andalucía
2020,102, Aragón
2019,109, Aragón
2018,120, Aragón
2017,100, Aragón
2016,113, Aragón
2015,131, Aragón
2014,116, Aragón
2013,98, Aragón
2012,99, Aragón
2011,89, Aragón
2010,95, Aragón
2009,114, Aragón
2008,100, Aragón
2007,101, Aragón
2006,84, Aragón
2005,102, Aragón
2004,107, Aragón
2003,89, Aragón
2002,118, Aragón
2001,91, Aragón
2000,97, Aragón
2020,122," Asturias, Principado de"
2019,128," Asturias, Principado de"
2018,138," Asturias, Principado de"
2017,134," Asturias, Principado de"
2016,134," Asturias, Principado de"
2015,135," Asturias, Principado de"
2014,149," Asturias, Principado de"
2013,148," Asturias, Principado de"
2012,132," Asturias, Principado de"
2011,120," Asturias, Principado de"
2010,149," Asturias, Principado de"
2009,117," Asturias, Principado de"
2008,113," Asturias, Principado de"
2007,125," Asturias, Principado de"
2006,127," Asturias, Principado de"
2005,124," Asturias, Principado de"
2004,131," Asturias, Principado de"
2003,125," Asturias, Principado de"
2002,135," Asturias, Principado de"
2001,136," Asturias, Principado de"
2000,156," Asturias, Principado de"
2020,87," Balears, Illes"
2019,97," Balears, Illes"
2018,71," Balears, Illes"
2017,103," Balears, Illes"
2016,92," Balears, Illes"
2015,93," Balears, Illes"
2014,97," Balears, Illes"
2013,104," Balears, Illes"
2012,90," Balears, Illes"
2011,87," Balears, Illes"
2010,96," Balears, Illes"
2009,104," Balears, Illes"
2008,80," Balears, Illes"
2007,77," Balears, Illes"
2006,68," Balears, Illes"
2005,70," Balears, Illes"
2004,68," Balears, Illes"
2003,71," Balears, Illes"
2002,58," Balears, Illes"
2001,48," Balears, Illes"
2000,59," Balears, Illes"
2020,208, Canarias
2019,197, Canarias
2018,193, Canarias
2017,200, Canarias
2016,183, Canarias
2015,190, Canarias
2014,178, Canarias
2013,185, Canarias
2012,189, Canarias
2011,142, Canarias
2010,156, Canarias
2009,160, Canarias
2008,183, Canarias
2007,157, Canarias
2006,170, Canarias
2005,158, Canarias
2004,145, Canarias
2003,129, Canarias
2002,130, Canarias
2001,120, Canarias
2000,142, Canarias
2020,46, Cantabria
2019,36, Cantabria
2018,28, Cantabria
2017,27, Cantabria
2016,41, Cantabria
2015,38, Cantabria
2014,38, Cantabria
2013,32, Cantabria
2012,36, Cantabria
2011,37, Cantabria
2010,20, Cantabria
2009,33, Cantabria
2008,24, Cantabria
2007,16, Cantabria
2006,25, Cantabria
2005,31, Cantabria
2004,24, Cantabria
2003,34, Cantabria
2002,29, Cantabria
2001,25, Cantabria
2000,26, Cantabria
2020,228, Castilla y León
2019,218, Castilla y León
2018,213, Castilla y León
2017,218, Castilla y León
2016,215, Castilla y León
2015,224, Castilla y León
2014,240, Castilla y León
2013,210, Castilla y León
2012,200, Castilla y León
2011,182, Castilla y León
2010,216, Castilla y León
2009,221, Castilla y León
2008,218, Castilla y León
2007,217, Castilla y León
2006,194, Castilla y León
2005,191, Castilla y León
2004,218, Castilla y León
2003,241, Castilla y León
2002,220, Castilla y León
2001,208, Castilla y León
2000,241, Castilla y León
2020,180, Castilla - La Mancha
2019,152, Castilla - La Mancha
2018,132, Castilla - La Mancha
2017,157, Castilla - La Mancha
2016,135, Castilla - La Mancha
2015,167, Castilla - La Mancha
2014,190, Castilla - La Mancha
2013,184, Castilla - La Mancha
2012,163, Castilla - La Mancha
2011,145, Castilla - La Mancha
2010,141, Castilla - La Mancha
2009,157, Castilla - La Mancha
2008,155, Castilla - La Mancha
2007,141, Castilla - La Mancha
2006,141, Castilla - La Mancha
2005,152, Castilla - La Mancha
2004,171, Castilla - La Mancha
2003,149, Castilla - La Mancha
2002,143, Castilla - La Mancha
2001,134, Castilla - La Mancha
2000,145, Castilla - La Mancha
2020,556, Cataluña
2019,535, Cataluña
2018,522, Cataluña
2017,504, Cataluña
2016,510, Cataluña
2015,495, Cataluña
2014,531, Cataluña
2013,544, Cataluña
2012,526, Cataluña
2011,478, Cataluña
2010,418, Cataluña
2009,440, Cataluña
2008,425, Cataluña
2007,377, Cataluña
2006,381, Cataluña
2005,425, Cataluña
2004,485, Cataluña
2003,470, Cataluña
2002,500, Cataluña
2001,488, Cataluña
2000,471, Cataluña
2020,440, Comunitat Valenciana
2019,450, Comunitat Valenciana
2018,396, Comunitat Valenciana
2017,397, Comunitat Valenciana
2016,336, Comunitat Valenciana
2015,348, Comunitat Valenciana
2014,380, Comunitat Valenciana
2013,399, Comunitat Valenciana
2012,406, Comunitat Valenciana
2011,332, Comunitat Valenciana
2010,400, Comunitat Valenciana
2009,381, Comunitat Valenciana
2008,371, Comunitat Valenciana
2007,396, Comunitat Valenciana
2006,363, Comunitat Valenciana
2005,388, Comunitat Valenciana
2004,358, Comunitat Valenciana
2003,362, Comunitat Valenciana
2002,300, Comunitat Valenciana
2001,338, Comunitat Valenciana
2000,355, Comunitat Valenciana
2020,92, Extremadura
2019,79, Extremadura
2018,70, Extremadura
2017,77, Extremadura
2016,82, Extremadura
2015,58, Extremadura
2014,63, Extremadura
2013,74, Extremadura
2012,76, Extremadura
2011,70, Extremadura
2010,81, Extremadura
2009,73, Extremadura
2008,78, Extremadura
2007,74, Extremadura
2006,70, Extremadura
2005,89, Extremadura
2004,93, Extremadura
2003,69, Extremadura
2002,90, Extremadura
2001,67, Extremadura
2000,80, Extremadura
2020,305, Galicia
2019,292, Galicia
2018,274, Galicia
2017,323, Galicia
2016,338, Galicia
2015,318, Galicia
2014,371, Galicia
2013,333, Galicia
2012,332, Galicia
2011,306, Galicia
2010,275, Galicia
2009,340, Galicia
2008,296, Galicia
2007,304, Galicia
2006,300, Galicia
2005,329, Galicia
2004,301, Galicia
2003,337, Galicia
2002,284, Galicia
2001,266, Galicia
2000,293, Galicia
2020,373," Madrid, Comunidad de"
2019,350," Madrid, Comunidad de"
2018,342," Madrid, Comunidad de"
2017,341," Madrid, Comunidad de"
2016,305," Madrid, Comunidad de"
2015,327," Madrid, Comunidad de"
2014,345," Madrid, Comunidad de"
2013,333," Madrid, Comunidad de"
2012,95," Madrid, Comunidad de"
