PERIODO,CCAA,DESEMPLEO,DESEMPLEO HOMBRES,DESEMPLEO MUJERES,SUICIDIOS,SUICIDIOS HOMBRES,SUICIDIOS MUJERES,PIB
2000, Andalucía,51.47,17.79,34.44,793.0,576.0,217.0,17747.0
2001, Andalucía,50.08,13.89,26.78,640.0,478.0,162.0,19530.0
2002, Andalucía,19.5,14.28,27.89,653.0,505.0,148.0,19103.0
2003, Andalucía,18.45,13.7,25.95,692.0,506.0,186.0,18490.0
2004, Andalucía,16.99,12.6,23.84,668.0,528.0,140.0,17659.0
2005, Andalucía,13.82,10.38,19.16,682.0,525.0,157.0,17235.0
2006, Andalucía,12.62,9.27,17.67,784.0,621.0,163.0,16413.0
2007, Andalucía,12.75,9.56,17.4,808.0,620.0,188.0,16221.0
2008, Andalucía,17.7,15.25,21.16,781.0,617.0,164.0,16462.0
2009, Andalucía,25.24,24.06,26.84,651.0,521.0,130.0,17167.0
2010, Andalucía,27.77,26.69,29.17,685.0,537.0,148.0,17434.0
2011, Andalucía,30.13,28.69,31.97,750.0,583.0,167.0,17573.0
2012, Andalucía,34.35,33.42,35.49,823.0,658.0,165.0,18513.0
2013, Andalucía,36.22,34.78,37.98,709.0,539.0,170.0,18382.0
2014, Andalucía,34.78,32.7,37.3,727.0,553.0,174.0,17483.0
2015, Andalucía,31.54,29.08,34.49,697.0,530.0,167.0,16477.0
2016, Andalucía,28.88,26.2,32.14,696.0,535.0,161.0,15491.0
2017, Andalucía,25.5,22.94,28.64,741.0,585.0,156.0,14537.0
2018, Andalucía,22.98,19.76,26.94,671.0,532.0,139.0,13574.0
2019, Andalucía,21.19,17.83,25.22,657.0,520.0,137.0,12764.0
2020, Andalucía,22.27,18.82,26.5,701.0,544.0,157.0,11856.0
2000, Aragón,51.0,3.81,12.82,102.0,69.0,33.0,26512.0
2001, Aragón,50.17,3.3,7.8,109.0,81.0,28.0,28759.0
2002, Aragón,5.85,3.64,27.89,120.0,95.0,25.0,28021.0
2003, Aragón,6.63,4.73,25.95,100.0,73.0,27.0,27087.0
2004, Aragón,5.66,3.87,23.84,113.0,85.0,28.0,25985.0
2005, Aragón,5.9,4.08,19.16,131.0,98.0,33.0,24874.0
2006, Aragón,5.53,3.86,17.67,116.0,91.0,25.0,24308.0
2007, Aragón,5.3,3.92,17.4,98.0,68.0,30.0,24041.0
2008, Aragón,7.28,6.62,21.16,99.0,75.0,24.0,23840.0
2009, Aragón,13.05,13.41,26.84,89.0,61.0,28.0,24819.0
2010, Aragón,14.96,14.19,29.17,95.0,74.0,21.0,25173.0
2011, Aragón,17.08,16.88,31.97,114.0,88.0,26.0,24965.0
2012, Aragón,18.66,17.74,35.49,100.0,74.0,26.0,26296.0
2013, Aragón,21.38,20.32,37.98,101.0,80.0,21.0,25855.0
2014, Aragón,20.17,18.25,37.3,84.0,64.0,20.0,24239.0
2015, Aragón,16.29,13.29,34.49,102.0,75.0,27.0,22680.0
2016, Aragón,14.74,12.11,32.14,107.0,88.0,19.0,21405.0
2017, Aragón,11.64,9.02,28.64,89.0,69.0,20.0,20282.0
2018, Aragón,10.63,9.33,26.94,118.0,82.0,36.0,19193.0
2019, Aragón,10.02,8.8,25.22,91.0,71.0,20.0,17934.0
2020, Aragón,11.7,10.09,26.5,97.0,72.0,25.0,16716.0
2000," Asturias, Principado de",45.39,11.36,25.62,122.0,89.0,33.0,21149.0
2001," Asturias, Principado de",42.21,4.83,12.44,128.0,97.0,31.0,23240.0
2002," Asturias, Principado de",9.8,7.19,13.84,138.0,97.0,41.0,22676.0
2003," Asturias, Principado de",11.3,7.98,16.12,134.0,91.0,43.0,21936.0
2004," Asturias, Principado de",10.32,7.32,14.62,134.0,94.0,40.0,20920.0
2005," Asturias, Principado de",10.04,7.96,12.96,135.0,91.0,44.0,20471.0
2006," Asturias, Principado de",9.16,6.81,12.28,149.0,108.0,41.0,19594.0
2007," Asturias, Principado de",8.42,6.48,10.87,148.0,107.0,41.0,19518.0
2008," Asturias, Principado de",8.5,6.77,10.62,132.0,84.0,48.0,19954.0
2009," Asturias, Principado de",13.42,12.65,14.34,120.0,84.0,36.0,20812.0
2010," Asturias, Principado de",15.92,15.16,16.81,149.0,111.0,38.0,21125.0
2011," Asturias, Principado de",17.84,18.31,17.29,117.0,90.0,27.0,20941.0
2012," Asturias, Principado de",21.82,21.89,21.74,113.0,80.0,33.0,22201.0
2013," Asturias, Principado de",24.13,23.92,24.36,125.0,93.0,32.0,21634.0
2014," Asturias, Principado de",21.13,20.14,22.2,127.0,95.0,32.0,20269.0
2015," Asturias, Principado de",19.11,19.59,18.6,124.0,82.0,42.0,18675.0
2016," Asturias, Principado de",17.61,18.81,16.31,131.0,95.0,36.0,17229.0
2017," Asturias, Principado de",13.71,13.51,13.93,125.0,92.0,33.0,16201.0
2018," Asturias, Principado de",13.61,12.36,14.92,135.0,94.0,41.0,15346.0
2019," Asturias, Principado de",14.19,13.3,15.13,136.0,111.0,25.0,14487.0
2020," Asturias, Principado de",14.12,13.87,14.38,156.0,120.0,36.0,13418.0
2000," Balears, Illes",59.1,4.52,9.42,87.0,71.0,16.0,22048.0
2001," Balears, Illes",58.82,4.3,8.48,97.0,71.0,26.0,28522.0
2002," Balears, Illes",7.62,6.36,9.41,71.0,54.0,17.0,27847.0
2003," Balears, Illes",9.78,8.04,12.15,103.0,71.0,32.0,27102.0
2004," Balears, Illes",9.17,7.55,11.34,92.0,67.0,25.0,26093.0
2005," Balears, Illes",7.29,5.24,10.04,93.0,62.0,31.0,25002.0
2006," Balears, Illes",6.5,5.26,8.18,97.0,67.0,30.0,23892.0
2007," Balears, Illes",7.22,6.05,8.78,104.0,81.0,23.0,23304.0
2008," Balears, Illes",10.19,9.7,10.84,90.0,70.0,20.0,23525.0
2009," Balears, Illes",17.97,19.25,16.4,87.0,60.0,27.0,24098.0
2010," Balears, Illes",20.18,20.83,19.39,96.0,75.0,21.0,24397.0
2011," Balears, Illes",21.95,22.39,21.42,104.0,85.0,19.0,24561.0
2012," Balears, Illes",23.26,22.48,24.16,80.0,64.0,16.0,26077.0
2013," Balears, Illes",22.34,22.59,22.02,77.0,61.0,16.0,25811.0
2014," Balears, Illes",20.14,21.5,18.55,68.0,55.0,13.0,25010.0
2015," Balears, Illes",17.41,17.42,17.4,70.0,56.0,14.0,23874.0
2016," Balears, Illes",13.96,13.47,14.51,68.0,54.0,14.0,22858.0
2017," Balears, Illes",12.53,12.46,12.6,71.0,60.0,11.0,22029.0
2018," Balears, Illes",11.68,12.14,11.13,58.0,46.0,12.0,21793.0
2019," Balears, Illes",11.82,10.34,13.54,48.0,39.0,9.0,21353.0
2020," Balears, Illes",16.19,14.98,17.6,59.0,51.0,8.0,20094.0
2000, Canarias,56.05,9.6,19.34,208.0,159.0,49.0,17448.0
2001, Canarias,55.62,7.94,15.22,197.0,165.0,32.0,21387.0
2002, Canarias,11.08,8.36,15.14,193.0,154.0,39.0,20943.0
2003, Canarias,11.34,8.76,15.05,200.0,147.0,53.0,20436.0
2004, Canarias,11.92,9.44,15.42,183.0,143.0,40.0,19612.0
2005, Canarias,11.71,10.01,14.1,190.0,142.0,48.0,19065.0
2006, Canarias,11.62,9.47,14.6,178.0,135.0,43.0,18536.0
2007, Canarias,10.45,8.62,12.92,185.0,138.0,47.0,18512.0
2008, Canarias,17.24,16.13,18.72,189.0,153.0,36.0,18733.0
2009, Canarias,26.0,25.58,26.55,142.0,107.0,35.0,19574.0
2010, Canarias,28.6,29.15,27.91,156.0,126.0,30.0,19878.0
2011, Canarias,29.28,29.4,29.13,160.0,129.0,31.0,19810.0
2012, Canarias,32.58,31.94,33.32,183.0,154.0,29.0,21049.0
2013, Canarias,33.73,34.34,33.01,157.0,122.0,35.0,21050.0
2014, Canarias,32.42,31.82,33.12,170.0,142.0,28.0,20323.0
2015, Canarias,29.1,27.89,30.55,158.0,119.0,39.0,19523.0
2016, Canarias,26.06,24.38,28.0,145.0,115.0,30.0,18737.0
2017, Canarias,23.47,21.25,25.98,129.0,111.0,18.0,18206.0
2018, Canarias,20.08,18.9,21.43,130.0,108.0,22.0,17491.0
2019, Canarias,20.5,19.31,21.86,120.0,102.0,18.0,16804.0
2020, Canarias,22.65,21.49,23.93,142.0,109.0,33.0,15622.0
2000, Cantabria,48.63,8.5,21.26,46.0,34.0,12.0,22096.0
2001, Cantabria,49.56,5.58,13.54,36.0,25.0,11.0,24350.0
2002, Cantabria,10.02,6.99,14.86,28.0,23.0,5.0,23656.0
2003, Cantabria,10.41,7.34,15.12,27.0,18.0,9.0,22767.0
2004, Cantabria,10.56,7.8,14.68,41.0,32.0,9.0,21905.0
2005, Cantabria,8.5,6.26,11.72,38.0,28.0,10.0,21122.0
2006, Cantabria,6.46,4.27,9.44,38.0,28.0,10.0,20568.0
2007, Cantabria,5.96,4.46,7.98,32.0,26.0,6.0,20159.0
2008, Cantabria,7.16,5.88,8.85,36.0,25.0,11.0,20585.0
