PERIODO,SUICIDIOS HOMBRES,CCAA
2020,576, Andalucía
2019,478, Andalucía
2018,505, Andalucía
2017,506, Andalucía
2016,528, Andalucía
2015,525, Andalucía
2014,621, Andalucía
2013,620, Andalucía
2012,617, Andalucía
2011,521, Andalucía
2010,537, Andalucía
2009,583, Andalucía
2008,658, Andalucía
2007,539, Andalucía
2006,553, Andalucía
2005,530, Andalucía
2004,535, Andalucía
2003,585, Andalucía
2002,532, Andalucía
2001,520, Andalucía
2000,544, Andalucía
2020,69, Aragón
2019,81, Aragón
2018,95, Aragón
2017,73, Aragón
2016,85, Aragón
2015,98, Aragón
2014,91, Aragón
2013,68, Aragón
2012,75, Aragón
2011,61, Aragón
2010,74, Aragón
2009,88, Aragón
2008,74, Aragón
2007,80, Aragón
2006,64, Aragón
2005,75, Aragón
2004,88, Aragón
2003,69, Aragón
2002,82, Aragón
2001,71, Aragón
2000,72, Aragón
2020,89," Asturias, Principado de"
2019,97," Asturias, Principado de"
2018,97," Asturias, Principado de"
2017,91," Asturias, Principado de"
2016,94," Asturias, Principado de"
2015,91," Asturias, Principado de"
2014,108," Asturias, Principado de"
2013,107," Asturias, Principado de"
2012,84," Asturias, Principado de"
2011,84," Asturias, Principado de"
2010,111," Asturias, Principado de"
2009,90," Asturias, Principado de"
2008,80," Asturias, Principado de"
2007,93," Asturias, Principado de"
2006,95," Asturias, Principado de"
2005,82," Asturias, Principado de"
2004,95," Asturias, Principado de"
2003,92," Asturias, Principado de"
2002,94," Asturias, Principado de"
2001,111," Asturias, Principado de"
2000,120," Asturias, Principado de"
2020,71," Balears, Illes"
2019,71," Balears, Illes"
2018,54," Balears, Illes"
2017,71," Balears, Illes"
2016,67," Balears, Illes"
2015,62," Balears, Illes"
2014,67," Balears, Illes"
2013,81," Balears, Illes"
2012,70," Balears, Illes"
2011,60," Balears, Illes"
2010,75," Balears, Illes"
2009,85," Balears, Illes"
2008,64," Balears, Illes"
2007,61," Balears, Illes"
2006,55," Balears, Illes"
2005,56," Balears, Illes"
2004,54," Balears, Illes"
2003,60," Balears, Illes"
2002,46," Balears, Illes"
2001,39," Balears, Illes"
2000,51," Balears, Illes"
2020,159, Canarias
2019,165, Canarias
2018,154, Canarias
2017,147, Canarias
2016,143, Canarias
2015,142, Canarias
2014,135, Canarias
2013,138, Canarias
2012,153, Canarias
2011,107, Canarias
2010,126, Canarias
2009,129, Canarias
2008,154, Canarias
2007,122, Canarias
2006,142, Canarias
2005,119, Canarias
2004,115, Canarias
2003,111, Canarias
2002,108, Canarias
2001,102, Canarias
2000,109, Canarias
2020,34, Cantabria
2019,25, Cantabria
2018,23, Cantabria
2017,18, Cantabria
2016,32, Cantabria
2015,28, Cantabria
2014,28, Cantabria
2013,26, Cantabria
2012,25, Cantabria
2011,24, Cantabria
2010,19, Cantabria
2009,31, Cantabria
2008,21, Cantabria
2007,13, Cantabria
2006,22, Cantabria
2005,23, Cantabria
2004,15, Cantabria
2003,25, Cantabria
2002,21, Cantabria
2001,22, Cantabria
2000,14, Cantabria
2020,177, Castilla y León
2019,165, Castilla y León
2018,158, Castilla y León
2017,155, Castilla y León
2016,161, Castilla y León
2015,169, Castilla y León
2014,187, Castilla y León
2013,164, Castilla y León
2012,154, Castilla y León
2011,139, Castilla y León
2010,172, Castilla y León
2009,174, Castilla y León
2008,174, Castilla y León
2007,164, Castilla y León
2006,162, Castilla y León
2005,159, Castilla y León
2004,169, Castilla y León
2003,185, Castilla y León
2002,168, Castilla y León
2001,168, Castilla y León
2000,179, Castilla y León
2020,147, Castilla - La Mancha
2019,115, Castilla - La Mancha
2018,94, Castilla - La Mancha
2017,126, Castilla - La Mancha
2016,113, Castilla - La Mancha
2015,140, Castilla - La Mancha
2014,151, Castilla - La Mancha
2013,152, Castilla - La Mancha
2012,134, Castilla - La Mancha
2011,121, Castilla - La Mancha
2010,116, Castilla - La Mancha
2009,140, Castilla - La Mancha
2008,121, Castilla - La Mancha
2007,116, Castilla - La Mancha
2006,118, Castilla - La Mancha
2005,125, Castilla - La Mancha
2004,132, Castilla - La Mancha
2003,128, Castilla - La Mancha
2002,115, Castilla - La Mancha
2001,110, Castilla - La Mancha
2000,118, Castilla - La Mancha
2020,414, Cataluña
2019,380, Cataluña
2018,381, Cataluña
2017,374, Cataluña
2016,355, Cataluña
2015,362, Cataluña
2014,393, Cataluña
2013,419, Cataluña
2012,397, Cataluña
2011,355, Cataluña
2010,325, Cataluña
2009,329, Cataluña
2008,323, Cataluña
2007,278, Cataluña
2006,291, Cataluña
2005,322, Cataluña
2004,361, Cataluña
2003,348, Cataluña
2002,369, Cataluña
2001,354, Cataluña
2000,343, Cataluña
2020,317, Comunitat Valenciana
2019,348, Comunitat Valenciana
2018,293, Comunitat Valenciana
2017,280, Comunitat Valenciana
2016,255, Comunitat Valenciana
2015,274, Comunitat Valenciana
2014,278, Comunitat Valenciana
2013,291, Comunitat Valenciana
2012,308, Comunitat Valenciana
2011,256, Comunitat Valenciana
2010,300, Comunitat Valenciana
2009,288, Comunitat Valenciana
2008,278, Comunitat Valenciana
2007,290, Comunitat Valenciana
2006,260, Comunitat Valenciana
2005,275, Comunitat Valenciana
2004,264, Comunitat Valenciana
2003,261, Comunitat Valenciana
2002,227, Comunitat Valenciana
2001,242, Comunitat Valenciana
2000,262, Comunitat Valenciana
2020,79, Extremadura
2019,68, Extremadura
2018,58, Extremadura
2017,61, Extremadura
2016,66, Extremadura
2015,48, Extremadura
2014,51, Extremadura
2013,60, Extremadura
2012,66, Extremadura
2011,59, Extremadura
2010,73, Extremadura
2009,56, Extremadura
2008,68, Extremadura
2007,63, Extremadura
2006,58, Extremadura
2005,74, Extremadura
2004,73, Extremadura
2003,48, Extremadura
