PERIODO,SUICIDIOS MUJERES,CCAA
2020,217, Andalucía
2019,162, Andalucía
2018,148, Andalucía
2017,186, Andalucía
2016,140, Andalucía
2015,157, Andalucía
2014,163, Andalucía
2013,188, Andalucía
2012,164, Andalucía
2011,130, Andalucía
2010,148, Andalucía
2009,167, Andalucía
2008,165, Andalucía
2007,170, Andalucía
2006,174, Andalucía
2005,167, Andalucía
2004,161, Andalucía
2003,156, Andalucía
2002,139, Andalucía
2001,137, Andalucía
2000,157, Andalucía
2020,33, Aragón
2019,28, Aragón
2018,25, Aragón
2017,27, Aragón
2016,28, Aragón
2015,33, Aragón
2014,25, Aragón
2013,30, Aragón
2012,24, Aragón
2011,28, Aragón
2010,21, Aragón
2009,26, Aragón
2008,26, Aragón
2007,21, Aragón
2006,20, Aragón
2005,27, Aragón
2004,19, Aragón
2003,20, Aragón
2002,36, Aragón
2001,20, Aragón
2000,25, Aragón
2020,33," Asturias, Principado de"
2019,31," Asturias, Principado de"
2018,41," Asturias, Principado de"
2017,43," Asturias, Principado de"
2016,40," Asturias, Principado de"
2015,44," Asturias, Principado de"
2014,41," Asturias, Principado de"
2013,41," Asturias, Principado de"
2012,48," Asturias, Principado de"
2011,36," Asturias, Principado de"
2010,38," Asturias, Principado de"
2009,27," Asturias, Principado de"
2008,33," Asturias, Principado de"
2007,32," Asturias, Principado de"
2006,32," Asturias, Principado de"
2005,42," Asturias, Principado de"
2004,36," Asturias, Principado de"
2003,33," Asturias, Principado de"
2002,41," Asturias, Principado de"
2001,25," Asturias, Principado de"
2000,36," Asturias, Principado de"
2020,16," Balears, Illes"
2019,26," Balears, Illes"
2018,17," Balears, Illes"
2017,32," Balears, Illes"
2016,25," Balears, Illes"
2015,31," Balears, Illes"
2014,30," Balears, Illes"
2013,23," Balears, Illes"
2012,20," Balears, Illes"
2011,27," Balears, Illes"
2010,21," Balears, Illes"
2009,19," Balears, Illes"
2008,16," Balears, Illes"
2007,16," Balears, Illes"
2006,13," Balears, Illes"
2005,14," Balears, Illes"
2004,14," Balears, Illes"
2003,11," Balears, Illes"
2002,12," Balears, Illes"
2001,9," Balears, Illes"
2000,8," Balears, Illes"
2020,49, Canarias
2019,32, Canarias
2018,39, Canarias
2017,53, Canarias
2016,40, Canarias
2015,48, Canarias
2014,43, Canarias
2013,47, Canarias
2012,36, Canarias
2011,35, Canarias
2010,30, Canarias
2009,31, Canarias
2008,29, Canarias
2007,35, Canarias
2006,28, Canarias
2005,39, Canarias
2004,30, Canarias
2003,18, Canarias
2002,22, Canarias
2001,18, Canarias
2000,33, Canarias
2020,12, Cantabria
2019,11, Cantabria
2018,5, Cantabria
2017,9, Cantabria
2016,9, Cantabria
2015,10, Cantabria
2014,10, Cantabria
2013,6, Cantabria
2012,11, Cantabria
2011,13, Cantabria
2010,1, Cantabria
2009,2, Cantabria
2008,3, Cantabria
2007,3, Cantabria
2006,3, Cantabria
2005,8, Cantabria
2004,9, Cantabria
2003,9, Cantabria
2002,8, Cantabria
2001,3, Cantabria
2000,12, Cantabria
2020,51, Castilla y León
2019,53, Castilla y León
2018,55, Castilla y León
2017,63, Castilla y León
2016,54, Castilla y León
2015,55, Castilla y León
2014,53, Castilla y León
2013,46, Castilla y León
2012,46, Castilla y León
2011,43, Castilla y León
2010,44, Castilla y León
2009,47, Castilla y León
2008,44, Castilla y León
2007,53, Castilla y León
2006,32, Castilla y León
2005,32, Castilla y León
2004,49, Castilla y León
2003,56, Castilla y León
2002,52, Castilla y León
2001,40, Castilla y León
2000,62, Castilla y León
