EDAD,PERIODO,SUICIDIOS
De 1 a 14 años,2020,14
De 1 a 14 años,2019,7
De 1 a 14 años,2018,7
De 1 a 14 años,2017,13
De 1 a 14 años,2016,12
De 1 a 14 años,2015,8
De 1 a 14 años,2014,10
De 1 a 14 años,2013,9
De 1 a 14 años,2012,5
De 1 a 14 años,2011,2
De 1 a 14 años,2010,3
De 1 a 14 años,2009,8
De 1 a 14 años,2008,4
De 1 a 14 años,2007,12
De 1 a 14 años,2006,5
De 1 a 14 años,2005,7
De 1 a 14 años,2004,12
De 1 a 14 años,2003,3
De 1 a 14 años,2002,8
De 1 a 14 años,2001,11
De 1 a 14 años,2000,9
De 15 a 29 años,2020,300
De 15 a 29 años,2019,309
De 15 a 29 años,2018,268
De 15 a 29 años,2017,273
De 15 a 29 años,2016,247
De 15 a 29 años,2015,296
De 15 a 29 años,2014,319
De 15 a 29 años,2013,301
De 15 a 29 años,2012,305
De 15 a 29 años,2011,244
De 15 a 29 años,2010,239
De 15 a 29 años,2009,370
De 15 a 29 años,2008,380
De 15 a 29 años,2007,331
De 15 a 29 años,2006,374
De 15 a 29 años,2005,436
De 15 a 29 años,2004,485
De 15 a 29 años,2003,465
De 15 a 29 años,2002,482
De 15 a 29 años,2001,455
De 15 a 29 años,2000,545
De 30 a 39 años,2020,411
De 30 a 39 años,2019,413
De 30 a 39 años,2018,396
De 30 a 39 años,2017,452
De 30 a 39 años,2016,456
De 30 a 39 años,2015,427
De 30 a 39 años,2014,504
De 30 a 39 años,2013,518
De 30 a 39 años,2012,548
De 30 a 39 años,2011,496
De 30 a 39 años,2010,500
De 30 a 39 años,2009,519
De 30 a 39 años,2008,563
De 30 a 39 años,2007,538
De 30 a 39 años,2006,558
De 30 a 39 años,2005,576
De 30 a 39 años,2004,563
De 30 a 39 años,2003,621
De 30 a 39 años,2002,546
De 30 a 39 años,2001,550
De 30 a 39 años,2000,502
De 40 a 44 años,2020,358
De 40 a 44 años,2019,342
De 40 a 44 años,2018,315
De 40 a 44 años,2017,344
De 40 a 44 años,2016,355
De 40 a 44 años,2015,355
De 40 a 44 años,2014,386
De 40 a 44 años,2013,379
De 40 a 44 años,2012,364
De 40 a 44 años,2011,343
De 40 a 44 años,2010,345
De 40 a 44 años,2009,320
De 40 a 44 años,2008,341
De 40 a 44 años,2007,309
De 40 a 44 años,2006,275
De 40 a 44 años,2005,298
De 40 a 44 años,2004,296
De 40 a 44 años,2003,269
De 40 a 44 años,2002,242
De 40 a 44 años,2001,253
De 40 a 44 años,2000,246
De 45 a 49 años,2020,396
De 45 a 49 años,2019,389
De 45 a 49 años,2018,393
De 45 a 49 años,2017,367
De 45 a 49 años,2016,349
De 45 a 49 años,2015,387
De 45 a 49 años,2014,457
De 45 a 49 años,2013,412
De 45 a 49 años,2012,340
De 45 a 49 años,2011,300
De 45 a 49 años,2010,310
De 45 a 49 años,2009,340
De 45 a 49 años,2008,299
De 45 a 49 años,2007,283
De 45 a 49 años,2006,280
De 45 a 49 años,2005,242
De 45 a 49 años,2004,291
De 45 a 49 años,2003,251
De 45 a 49 años,2002,242
De 45 a 49 años,2001,207
De 45 a 49 años,2000,225
De 50 a 54 años,2020,440
De 50 a 54 años,2019,411
De 50 a 54 años,2018,377
De 50 a 54 años,2017,421
De 50 a 54 años,2016,377
De 50 a 54 años,2015,372
De 50 a 54 años,2014,438
De 50 a 54 años,2013,450
De 50 a 54 años,2012,338
De 50 a 54 años,2011,315
De 50 a 54 años,2010,311
De 50 a 54 años,2009,265
De 50 a 54 años,2008,284
De 50 a 54 años,2007,228
De 50 a 54 años,2006,226
De 50 a 54 años,2005,226
De 50 a 54 años,2004,259
De 50 a 54 años,2003,258
De 50 a 54 años,2002,243
De 50 a 54 años,2001,205
De 50 a 54 años,2000,219
De 55 a 59 años,2020,414
De 55 a 59 años,2019,350
De 55 a 59 años,2018,381
De 55 a 59 años,2017,362
De 55 a 59 años,2016,323
De 55 a 59 años,2015,332
De 55 a 59 años,2014,313
De 55 a 59 años,2013,324
De 55 a 59 años,2012,288
De 55 a 59 años,2011,237
De 55 a 59 años,2010,235
De 55 a 59 años,2009,253
De 55 a 59 años,2008,266
De 55 a 59 años,2007,232
De 55 a 59 años,2006,222
De 55 a 59 años,2005,223
De 55 a 59 años,2004,209
De 55 a 59 años,2003,228
De 55 a 59 años,2002,236
De 55 a 59 años,2001,180
De 55 a 59 años,2000,202
De 60 a 64 años,2020,327
De 60 a 64 años,2019,293
De 60 a 64 años,2018,273
De 60 a 64 años,2017,251
De 60 a 64 años,2016,270
De 60 a 64 años,2015,251
De 60 a 64 años,2014,268
De 60 a 64 años,2013,270
De 60 a 64 años,2012,230
De 60 a 64 años,2011,194
De 60 a 64 años,2010,221
De 60 a 64 años,2009,253
De 60 a 64 años,2008,225
De 60 a 64 años,2007,225
De 60 a 64 años,2006,228
De 60 a 64 años,2005,209
De 60 a 64 años,2004,207
De 60 a 64 años,2003,202
De 60 a 64 años,2002,191
De 60 a 64 años,2001,192
De 60 a 64 años,2000,222
De 65 a 69 años,2020,245
De 65 a 69 años,2019,231
De 65 a 69 años,2018,239
De 65 a 69 años,2017,230
De 65 a 69 años,2016,263
De 65 a 69 años,2015,228
De 65 a 69 años,2014,256
De 65 a 69 años,2013,257
De 65 a 69 años,2012,193
De 65 a 69 años,2011,198
De 65 a 69 años,2010,199
De 65 a 69 años,2009,209
De 65 a 69 años,2008,226
De 65 a 69 años,2007,184
De 65 a 69 años,2006,181
De 65 a 69 años,2005,216
De 65 a 69 años,2004,226
De 65 a 69 años,2003,231
De 65 a 69 años,2002,268
De 65 a 69 años,2001,264
De 65 a 69 años,2000,279
De 70 a 74 años  ,2020,264
De 70 a 74 años  ,2019,240
De 70 a 74 años  ,2018,230
De 70 a 74 años  ,2017,245
De 70 a 74 años  ,2016,212
De 70 a 74 años  ,2015,206
De 70 a 74 años  ,2014,215
De 70 a 74 años  ,2013,247
De 70 a 74 años  ,2012,214
De 70 a 74 años  ,2011,204
De 70 a 74 años  ,2010,187
De 70 a 74 años  ,2009,226
De 70 a 74 años  ,2008,231
De 70 a 74 años  ,2007,239
De 70 a 74 años  ,2006,262
De 70 a 74 años  ,2005,292
De 70 a 74 años  ,2004,278
De 70 a 74 años  ,2003,265
De 70 a 74 años  ,2002,261
De 70 a 74 años  ,2001,250
De 70 a 74 años  ,2000,292
De 75 a 79 años  ,2020,224
De 75 a 79 años  ,2019,228
De 75 a 79 años  ,2018,173
De 75 a 79 años  ,2017,204
De 75 a 79 años  ,2016,236
De 75 a 79 años  ,2015,247
De 75 a 79 años  ,2014,246
De 75 a 79 años  ,2013,254
De 75 a 79 años  ,2012,268
De 75 a 79 años  ,2011,258
De 75 a 79 años  ,2010,229
De 75 a 79 años  ,2009,281
De 75 a 79 años  ,2008,255
De 75 a 79 años  ,2007,251
De 75 a 79 años  ,2006,240
De 75 a 79 años  ,2005,268
De 75 a 79 años  ,2004,277
De 75 a 79 años  ,2003,275
De 75 a 79 años  ,2002,277
De 75 a 79 años  ,2001,260
De 75 a 79 años  ,2000,266
De 80 a 84 años  ,2020,240
De 80 a 84 años  ,2019,214
De 80 a 84 años  ,2018,228
De 80 a 84 años  ,2017,259
De 80 a 84 años  ,2016,231
De 80 a 84 años  ,2015,255
De 80 a 84 años  ,2014,232
De 80 a 84 años  ,2013,257
De 80 a 84 años  ,2012,248
De 80 a 84 años  ,2011,216
De 80 a 84 años  ,2010,187
De 80 a 84 años  ,2009,201
De 80 a 84 años  ,2008,215
De 80 a 84 años  ,2007,238
De 80 a 84 años  ,2006,232
De 80 a 84 años  ,2005,226
De 80 a 84 años  ,2004,217
De 80 a 84 años  ,2003,226
De 80 a 84 años  ,2002,190
De 80 a 84 años  ,2001,173
De 80 a 84 años  ,2000,203
De 85 a 89 años  ,2020,185
De 85 a 89 años  ,2019,148
De 85 a 89 años  ,2018,175
De 85 a 89 años  ,2017,180
De 85 a 89 años  ,2016,143
