EDAD,PERIODO,SUICIDIOS HOMBRES
De 1 a 14 años,2020,7
De 1 a 14 años,2019,4
De 1 a 14 años,2018,4
De 1 a 14 años,2017,6
De 1 a 14 años,2016,8
De 1 a 14 años,2015,7
De 1 a 14 años,2014,4
De 1 a 14 años,2013,6
De 1 a 14 años,2012,4
De 1 a 14 años,2011,1
De 1 a 14 años,2010,3
De 1 a 14 años,2009,7
De 1 a 14 años,2008,2
De 1 a 14 años,2007,7
De 1 a 14 años,2006,2
De 1 a 14 años,2005,4
De 1 a 14 años,2004,11
De 1 a 14 años,2003,2
De 1 a 14 años,2002,7
De 1 a 14 años,2001,7
De 1 a 14 años,2000,6
De 15 a 29 años,2020,227
De 15 a 29 años,2019,235
De 15 a 29 años,2018,203
De 15 a 29 años,2017,204
De 15 a 29 años,2016,180
De 15 a 29 años,2015,218
De 15 a 29 años,2014,239
De 15 a 29 años,2013,225
De 15 a 29 años,2012,239
De 15 a 29 años,2011,203
De 15 a 29 años,2010,196
De 15 a 29 años,2009,304
De 15 a 29 años,2008,308
De 15 a 29 años,2007,270
De 15 a 29 años,2006,303
De 15 a 29 años,2005,343
De 15 a 29 años,2004,394
De 15 a 29 años,2003,368
De 15 a 29 años,2002,389
De 15 a 29 años,2001,380
De 15 a 29 años,2000,454
De 30 a 39 años,2020,313
De 30 a 39 años,2019,314
De 30 a 39 años,2018,309
De 30 a 39 años,2017,354
De 30 a 39 años,2016,346
De 30 a 39 años,2015,332
De 30 a 39 años,2014,375
De 30 a 39 años,2013,395
De 30 a 39 años,2012,425
De 30 a 39 años,2011,383
De 30 a 39 años,2010,403
De 30 a 39 años,2009,400
De 30 a 39 años,2008,455
De 30 a 39 años,2007,400
De 30 a 39 años,2006,446
De 30 a 39 años,2005,448
De 30 a 39 años,2004,445
De 30 a 39 años,2003,512
De 30 a 39 años,2002,434
De 30 a 39 años,2001,430
De 30 a 39 años,2000,396
De 40 a 44 años,2020,275
De 40 a 44 años,2019,263
De 40 a 44 años,2018,236
De 40 a 44 años,2017,246
De 40 a 44 años,2016,275
De 40 a 44 años,2015,259
De 40 a 44 años,2014,293
De 40 a 44 años,2013,285
De 40 a 44 años,2012,274
De 40 a 44 años,2011,268
De 40 a 44 años,2010,262
De 40 a 44 años,2009,244
De 40 a 44 años,2008,262
De 40 a 44 años,2007,242
De 40 a 44 años,2006,219
De 40 a 44 años,2005,249
De 40 a 44 años,2004,230
De 40 a 44 años,2003,197
De 40 a 44 años,2002,176
De 40 a 44 años,2001,193
De 40 a 44 años,2000,193
De 45 a 49 años,2020,301
De 45 a 49 años,2019,310
De 45 a 49 años,2018,298
De 45 a 49 años,2017,291
De 45 a 49 años,2016,266
De 45 a 49 años,2015,276
De 45 a 49 años,2014,337
De 45 a 49 años,2013,319
De 45 a 49 años,2012,269
De 45 a 49 años,2011,229
De 45 a 49 años,2010,238
De 45 a 49 años,2009,264
De 45 a 49 años,2008,239
De 45 a 49 años,2007,208
De 45 a 49 años,2006,217
De 45 a 49 años,2005,185
De 45 a 49 años,2004,219
De 45 a 49 años,2003,184
De 45 a 49 años,2002,177
De 45 a 49 años,2001,148
De 45 a 49 años,2000,173
De 50 a 54 años,2020,323
De 50 a 54 años,2019,301
De 50 a 54 años,2018,280
De 50 a 54 años,2017,305
De 50 a 54 años,2016,288
De 50 a 54 años,2015,279
De 50 a 54 años,2014,344
De 50 a 54 años,2013,340
De 50 a 54 años,2012,247
De 50 a 54 años,2011,234
De 50 a 54 años,2010,243
De 50 a 54 años,2009,216
De 50 a 54 años,2008,225
De 50 a 54 años,2007,167
De 50 a 54 años,2006,158
De 50 a 54 años,2005,170
De 50 a 54 años,2004,195
De 50 a 54 años,2003,188
De 50 a 54 años,2002,185
De 50 a 54 años,2001,152
De 50 a 54 años,2000,155
De 55 a 59 años,2020,277
De 55 a 59 años,2019,260
De 55 a 59 años,2018,275
De 55 a 59 años,2017,254
De 55 a 59 años,2016,242
De 55 a 59 años,2015,251
De 55 a 59 años,2014,236
De 55 a 59 años,2013,237
De 55 a 59 años,2012,228
De 55 a 59 años,2011,180
De 55 a 59 años,2010,179
De 55 a 59 años,2009,196
De 55 a 59 años,2008,199
De 55 a 59 años,2007,165
De 55 a 59 años,2006,171
De 55 a 59 años,2005,157
De 55 a 59 años,2004,146
De 55 a 59 años,2003,164
De 55 a 59 años,2002,181
De 55 a 59 años,2001,137
De 55 a 59 años,2000,149
De 60 a 64 años,2020,239
De 60 a 64 años,2019,207
De 60 a 64 años,2018,196
De 60 a 64 años,2017,170
De 60 a 64 años,2016,191
De 60 a 64 años,2015,176
De 60 a 64 años,2014,190
De 60 a 64 años,2013,205
De 60 a 64 años,2012,179
De 60 a 64 años,2011,146
De 60 a 64 años,2010,168
De 60 a 64 años,2009,192
De 60 a 64 años,2008,163
De 60 a 64 años,2007,153
De 60 a 64 años,2006,171
De 60 a 64 años,2005,145
De 60 a 64 años,2004,142
De 60 a 64 años,2003,142
De 60 a 64 años,2002,128
De 60 a 64 años,2001,149
De 60 a 64 años,2000,155
De 65 a 69 años,2020,186
De 65 a 69 años,2019,172
De 65 a 69 años,2018,164
De 65 a 69 años,2017,162
De 65 a 69 años,2016,175
De 65 a 69 años,2015,166
De 65 a 69 años,2014,175
De 65 a 69 años,2013,187
De 65 a 69 años,2012,133
De 65 a 69 años,2011,139
De 65 a 69 años,2010,147
De 65 a 69 años,2009,147
De 65 a 69 años,2008,167
De 65 a 69 años,2007,145
De 65 a 69 años,2006,139
De 65 a 69 años,2005,156
De 65 a 69 años,2004,159
De 65 a 69 años,2003,166
De 65 a 69 años,2002,188
De 65 a 69 años,2001,198
De 65 a 69 años,2000,201
De 70 a 74 años  ,2020,192
De 70 a 74 años  ,2019,177
De 70 a 74 años  ,2018,160
De 70 a 74 años  ,2017,166
De 70 a 74 años  ,2016,154
De 70 a 74 años  ,2015,143
De 70 a 74 años  ,2014,158
De 70 a 74 años  ,2013,182
De 70 a 74 años  ,2012,155
De 70 a 74 años  ,2011,138
De 70 a 74 años  ,2010,141
De 70 a 74 años  ,2009,179
De 70 a 74 años  ,2008,172
De 70 a 74 años  ,2007,170
De 70 a 74 años  ,2006,195
De 70 a 74 años  ,2005,205
De 70 a 74 años  ,2004,212
De 70 a 74 años  ,2003,204
De 70 a 74 años  ,2002,191
De 70 a 74 años  ,2001,174
De 70 a 74 años  ,2000,205
De 75 a 79 años  ,2020,162
De 75 a 79 años  ,2019,171
De 75 a 79 años  ,2018,129
De 75 a 79 años  ,2017,145
De 75 a 79 años  ,2016,178
De 75 a 79 años  ,2015,178
De 75 a 79 años  ,2014,194
De 75 a 79 años  ,2013,181
De 75 a 79 años  ,2012,213
De 75 a 79 años  ,2011,216
De 75 a 79 años  ,2010,177
De 75 a 79 años  ,2009,221
De 75 a 79 años  ,2008,191
De 75 a 79 años  ,2007,200
De 75 a 79 años  ,2006,187
De 75 a 79 años  ,2005,209
De 75 a 79 años  ,2004,207
De 75 a 79 años  ,2003,214
De 75 a 79 años  ,2002,215
De 75 a 79 años  ,2001,197
De 75 a 79 años  ,2000,196
De 80 a 84 años  ,2020,184
De 80 a 84 años  ,2019,163
De 80 a 84 años  ,2018,167
