EDAD,PERIODO,SUICIDIOS MUJERES
De 1 a 14 años,2020,7
De 1 a 14 años,2019,3
De 1 a 14 años,2018,3
De 1 a 14 años,2017,7
De 1 a 14 años,2016,4
De 1 a 14 años,2015,1
De 1 a 14 años,2014,6
De 1 a 14 años,2013,3
De 1 a 14 años,2012,1
De 1 a 14 años,2011,1
De 1 a 14 años,2010,0
De 1 a 14 años,2009,1
De 1 a 14 años,2008,2
De 1 a 14 años,2007,5
De 1 a 14 años,2006,3
De 1 a 14 años,2005,3
De 1 a 14 años,2004,1
De 1 a 14 años,2003,1
De 1 a 14 años,2002,1
De 1 a 14 años,2001,4
De 1 a 14 años,2000,3
De 15 a 29 años,2020,73
De 15 a 29 años,2019,74
De 15 a 29 años,2018,65
De 15 a 29 años,2017,69
De 15 a 29 años,2016,67
De 15 a 29 años,2015,78
De 15 a 29 años,2014,80
De 15 a 29 años,2013,76
De 15 a 29 años,2012,66
De 15 a 29 años,2011,41
De 15 a 29 años,2010,43
De 15 a 29 años,2009,66
De 15 a 29 años,2008,72
De 15 a 29 años,2007,61
De 15 a 29 años,2006,71
De 15 a 29 años,2005,93
De 15 a 29 años,2004,91
De 15 a 29 años,2003,97
De 15 a 29 años,2002,93
De 15 a 29 años,2001,75
De 15 a 29 años,2000,91
De 30 a 39 años,2020,98
De 30 a 39 años,2019,99
De 30 a 39 años,2018,87
De 30 a 39 años,2017,98
De 30 a 39 años,2016,110
De 30 a 39 años,2015,95
De 30 a 39 años,2014,129
De 30 a 39 años,2013,123
De 30 a 39 años,2012,123
De 30 a 39 años,2011,113
De 30 a 39 años,2010,97
De 30 a 39 años,2009,119
De 30 a 39 años,2008,108
De 30 a 39 años,2007,138
De 30 a 39 años,2006,112
De 30 a 39 años,2005,128
De 30 a 39 años,2004,118
De 30 a 39 años,2003,109
De 30 a 39 años,2002,112
De 30 a 39 años,2001,120
De 30 a 39 años,2000,106
De 40 a 44 años,2020,83
De 40 a 44 años,2019,79
De 40 a 44 años,2018,79
De 40 a 44 años,2017,98
De 40 a 44 años,2016,80
De 40 a 44 años,2015,96
De 40 a 44 años,2014,93
De 40 a 44 años,2013,94
De 40 a 44 años,2012,90
De 40 a 44 años,2011,75
De 40 a 44 años,2010,83
De 40 a 44 años,2009,76
De 40 a 44 años,2008,79
De 40 a 44 años,2007,67
De 40 a 44 años,2006,56
De 40 a 44 años,2005,49
De 40 a 44 años,2004,66
De 40 a 44 años,2003,72
De 40 a 44 años,2002,66
De 40 a 44 años,2001,60
De 40 a 44 años,2000,53
De 45 a 49 años,2020,95
De 45 a 49 años,2019,79
De 45 a 49 años,2018,95
De 45 a 49 años,2017,76
De 45 a 49 años,2016,83
De 45 a 49 años,2015,111
De 45 a 49 años,2014,120
De 45 a 49 años,2013,93
De 45 a 49 años,2012,71
De 45 a 49 años,2011,71
De 45 a 49 años,2010,72
De 45 a 49 años,2009,76
De 45 a 49 años,2008,60
De 45 a 49 años,2007,75
De 45 a 49 años,2006,63
De 45 a 49 años,2005,57
De 45 a 49 años,2004,72
De 45 a 49 años,2003,67
De 45 a 49 años,2002,65
De 45 a 49 años,2001,59
De 45 a 49 años,2000,52
De 50 a 54 años,2020,117
De 50 a 54 años,2019,110
De 50 a 54 años,2018,97
De 50 a 54 años,2017,116
De 50 a 54 años,2016,89
De 50 a 54 años,2015,93
De 50 a 54 años,2014,94
De 50 a 54 años,2013,110
De 50 a 54 años,2012,91
De 50 a 54 años,2011,81
De 50 a 54 años,2010,68
De 50 a 54 años,2009,49
De 50 a 54 años,2008,59
De 50 a 54 años,2007,61
De 50 a 54 años,2006,68
De 50 a 54 años,2005,56
De 50 a 54 años,2004,64
De 50 a 54 años,2003,70
De 50 a 54 años,2002,58
De 50 a 54 años,2001,53
De 50 a 54 años,2000,64
De 55 a 59 años,2020,137
De 55 a 59 años,2019,90
De 55 a 59 años,2018,106
De 55 a 59 años,2017,108
De 55 a 59 años,2016,81
De 55 a 59 años,2015,81
De 55 a 59 años,2014,77
De 55 a 59 años,2013,87
De 55 a 59 años,2012,60
De 55 a 59 años,2011,57
De 55 a 59 años,2010,56
De 55 a 59 años,2009,57
De 55 a 59 años,2008,67
De 55 a 59 años,2007,67
De 55 a 59 años,2006,51
De 55 a 59 años,2005,66
De 55 a 59 años,2004,63
De 55 a 59 años,2003,64
De 55 a 59 años,2002,55
De 55 a 59 años,2001,43
De 55 a 59 años,2000,53
De 60 a 64 años,2020,88
De 60 a 64 años,2019,86
De 60 a 64 años,2018,77
De 60 a 64 años,2017,81
De 60 a 64 años,2016,79
De 60 a 64 años,2015,75
De 60 a 64 años,2014,78
De 60 a 64 años,2013,65
De 60 a 64 años,2012,51
De 60 a 64 años,2011,48
De 60 a 64 años,2010,53
De 60 a 64 años,2009,61
De 60 a 64 años,2008,62
De 60 a 64 años,2007,72
De 60 a 64 años,2006,57
De 60 a 64 años,2005,64
De 60 a 64 años,2004,65
De 60 a 64 años,2003,60
De 60 a 64 años,2002,63
De 60 a 64 años,2001,43
De 60 a 64 años,2000,67
De 65 a 69 años,2020,59
De 65 a 69 años,2019,59
De 65 a 69 años,2018,75
De 65 a 69 años,2017,68
De 65 a 69 años,2016,88
De 65 a 69 años,2015,62
De 65 a 69 años,2014,81
De 65 a 69 años,2013,70
De 65 a 69 años,2012,60
De 65 a 69 años,2011,59
De 65 a 69 años,2010,52
De 65 a 69 años,2009,62
De 65 a 69 años,2008,59
De 65 a 69 años,2007,39
De 65 a 69 años,2006,42
De 65 a 69 años,2005,60
De 65 a 69 años,2004,67
De 65 a 69 años,2003,65
De 65 a 69 años,2002,80
De 65 a 69 años,2001,66
De 65 a 69 años,2000,78
De 70 a 74 años  ,2020,72
De 70 a 74 años  ,2019,63
De 70 a 74 años  ,2018,70
De 70 a 74 años  ,2017,79
De 70 a 74 años  ,2016,58
De 70 a 74 años  ,2015,63
De 70 a 74 años  ,2014,57
De 70 a 74 años  ,2013,65
De 70 a 74 años  ,2012,59
De 70 a 74 años  ,2011,66
De 70 a 74 años  ,2010,46
De 70 a 74 años  ,2009,47
De 70 a 74 años  ,2008,59
De 70 a 74 años  ,2007,69
De 70 a 74 años  ,2006,67
De 70 a 74 años  ,2005,87
De 70 a 74 años  ,2004,66
De 70 a 74 años  ,2003,61
De 70 a 74 años  ,2002,70
De 70 a 74 años  ,2001,76
De 70 a 74 años  ,2000,87
De 75 a 79 años  ,2020,62
De 75 a 79 años  ,2019,57
De 75 a 79 años  ,2018,44
De 75 a 79 años  ,2017,59
De 75 a 79 años  ,2016,58
De 75 a 79 años  ,2015,69
De 75 a 79 años  ,2014,52
De 75 a 79 años  ,2013,73
De 75 a 79 años  ,2012,55
De 75 a 79 años  ,2011,42
De 75 a 79 años  ,2010,52
De 75 a 79 años  ,2009,60
De 75 a 79 años  ,2008,64
De 75 a 79 años  ,2007,51
De 75 a 79 años  ,2006,53
De 75 a 79 años  ,2005,59
De 75 a 79 años  ,2004,70
De 75 a 79 años  ,2003,61
De 75 a 79 años  ,2002,62
De 75 a 79 años  ,2001,63
De 75 a 79 años  ,2000,70
De 80 a 84 años  ,2020,56
De 80 a 84 años  ,2019,51
De 80 a 84 años  ,2018,61
De 80 a 84 años  ,2017,55
De 80 a 84 años  ,2016,50
De 80 a 84 años  ,2015,50
De 80 a 84 años  ,2014,48
De 80 a 84 años  ,2013,54
De 80 a 84 años  ,2012,47
De 80 a 84 años  ,2011,44
De 80 a 84 años  ,2010,29
De 80 a 84 años  ,2009,54
De 80 a 84 años  ,2008,45
De 80 a 84 años  ,2007,59
De 80 a 84 años  ,2006,52
De 80 a 84 años  ,2005,61
De 80 a 84 años  ,2004,60
De 80 a 84 años  ,2003,47
De 80 a 84 años  ,2002,41
De 80 a 84 años  ,2001,52
De 80 a 84 años  ,2000,51
De 85 a 89 años  ,2020,39
De 85 a 89 años  ,2019,30
De 85 a 89 años  ,2018,41
De 85 a 89 años  ,2017,37
De 85 a 89 años  ,2016,37
De 85 a 89 años  ,2015,30
De 85 a 89 años  ,2014,37
De 85 a 89 años  ,2013,31
De 85 a 89 años  ,2012,34
De 85 a 89 años  ,2011,31
De 85 a 89 años  ,2010,27
De 85 a 89 años  ,2009,27
De 85 a 89 años  ,2008,36
De 85 a 89 años  ,2007,26
De 85 a 89 años  ,2006,30
De 85 a 89 años  ,2005,30
De 85 a 89 años  ,2004,40
De 85 a 89 años  ,2003,33
De 85 a 89 años  ,2002,39
De 85 a 89 años  ,2001,34
De 85 a 89 años  ,2000,33
De 90 a 94 años  ,2020,21
De 90 a 94 años  ,2019,18
De 90 a 94 años  ,2018,17
De 90 a 94 años  ,2017,8
De 90 a 94 años  ,2016,19
De 90 a 94 años  ,2015,14
De 90 a 94 años  ,2014,19
De 90 a 94 años  ,2013,10
De 90 a 94 años  ,2012,5
De 90 a 94 años  ,2011,9
De 90 a 94 años  ,2010,9
De 90 a 94 años  ,2009,6
De 90 a 94 años  ,2008,8
De 90 a 94 años  ,2007,9
De 90 a 94 años  ,2006,8
De 90 a 94 años  ,2005,14
De 90 a 94 años  ,2004,13
De 90 a 94 años  ,2003,17
De 90 a 94 años  ,2002,11
De 90 a 94 años  ,2001,9
De 90 a 94 años  ,2000,8
95 y más años,2020,4
95 y más años,2019,2
95 y más años,2018,3
95 y más años,2017,2
95 y más años,2016,4
95 y más años,2015,4
95 y más años,2014,1
95 y más años,2013,5
95 y más años,2012,2
95 y más años,2011,7
95 y más años,2010,3
95 y más años,2009,2
95 y más años,2008,1
95 y más años,2007,1
95 y más años,2006,1
95 y más años,2005,2
95 y más años,2004,0
95 y más años,2003,4
95 y más años,2002,1
95 y más años,2001,2
95 y más años,2000,3
